FID	IID	wolbachia	eigval1	eigval2
line_853	line_853	2	-0.0079	0.0609
line_855	line_855	2	-0.0017	0.0277
line_857	line_857	1	-0.0063	0.0358
line_859	line_859	2	-0.0092	0.071
line_861	line_861	2	0.0206	0.0192
line_879	line_879	2	-0.0019	0.0814
line_882	line_882	2	-0.0043	0.0582
line_884	line_884	2	-0.0009	0.0276
line_890	line_890	2	-0.0041	0.049
line_894	line_894	1	0.1001	-0.2064
line_897	line_897	2	0	0.0448
line_900	line_900	1	-0.0087	0.0262
line_907	line_907	1	0.0125	0.0116
line_908	line_908	1	0.0162	0.0222
line_911	line_911	1	-0.0063	0.0412
