FID	IID	wolbachia	eigval1	eigval2
line_21	line_21	2	0.0014	0.0275
line_26	line_26	1	0.0882	-0.1935
line_28	line_28	1	0.0253	0.0433
line_31	line_31	1	0.0076	0.0143
line_32	line_32	1	0.1219	-0.208
line_38	line_38	1	-0.0037	0.0401
line_40	line_40	2	-0.0103	0.0365
line_45	line_45	1	-0.0064	0.0477
line_57	line_57	1	-0.0086	0.0446
line_59	line_59	1	0.0188	0.0172
line_69	line_69	2	-0.0098	0.0533
line_75	line_75	2	-0.0127	0.0414
line_83	line_83	1	-0.0099	0.0413
line_85	line_85	1	0.0158	-0.016
line_88	line_88	1	0.0141	-0.0155
line_91	line_91	1	-0.0133	0.043
line_93	line_93	1	0.0972	-0.207
line_100	line_100	2	0.0094	0.0053
line_101	line_101	1	0.0137	-0.0054
line_105	line_105	1	-0.0083	0.0483
line_109	line_109	1	0.0106	-0.0112
line_129	line_129	1	-0.0074	0.0425
line_136	line_136	2	-0.0035	0.0417
line_142	line_142	2	-0.0009	0.0387
line_149	line_149	2	-0.0032	0.0431
line_153	line_153	2	-0.0158	0.0343
line_181	line_181	2	-0.0051	0.0315
line_189	line_189	2	-0.0129	0.0421
line_195	line_195	1	-0.0053	0.0324
line_208	line_208	1	-0.0073	0.0429
line_217	line_217	1	-0.0066	0.0398
line_228	line_228	1	0.0008	0.0331
line_235	line_235	1	-0.008	0.0376
line_237	line_237	2	0.0161	-0.0154
line_239	line_239	1	0.0227	0.021
line_280	line_280	2	-0.0019	0.0353
line_287	line_287	2	-0.0047	0.0272
line_301	line_301	1	0.0189	-0.0132
line_303	line_303	1	-0.0026	0.0583
line_304	line_304	2	-0.0049	0.0912
line_306	line_306	2	-0.001	0.0716
line_307	line_307	1	-0.0036	0.0403
line_309	line_309	1	-0.008	0.0372
line_310	line_310	2	-0.0118	0.0247
line_313	line_313	1	0.0843	-0.185
line_315	line_315	1	0.0008	0.0347
line_317	line_317	2	-0.0035	0.0342
line_318	line_318	2	-0.003	0.0378
line_319	line_319	2	-0.0108	0.0351
line_320	line_320	2	-0.0053	0.0334
line_324	line_324	1	0.0295	0.0279
line_335	line_335	2	-0.0085	0.029
line_336	line_336	2	0.0185	-0.0216
line_338	line_338	2	0.0185	-0.0207
line_350	line_350	1	0.1362	-0.2434
line_357	line_357	1	-0.0036	0.0296
line_358	line_358	1	0.1427	-0.2569
line_359	line_359	1	0.0968	-0.1972
line_360	line_360	2	-0.0078	0.0321
line_361	line_361	2	0.0017	0.0281
line_362	line_362	2	-0.0089	0.0364
line_365	line_365	2	-0.0048	0.0357
line_367	line_367	1	-0.0117	0.0292
line_370	line_370	2	-0.008	0.0333
line_373	line_373	1	-0.0006	0.0345
line_374	line_374	2	0.0151	0.0138
line_375	line_375	1	-0.0052	0.0398
line_379	line_379	1	-0.0087	0.0325
line_380	line_380	2	-0.0012	0.0245
line_383	line_383	2	0.0833	-0.177
line_385	line_385	1	-0.4804	-0.2097
line_386	line_386	1	0.0698	-0.19
line_390	line_390	1	0.0965	-0.1841
line_391	line_391	1	-0.0171	0.0305
line_392	line_392	1	-0.291	-0.1242
line_395	line_395	1	-0.5259	-0.2318
line_397	line_397	2	-0.0059	0.0359
line_399	line_399	1	-0.4661	-0.2029
line_405	line_405	2	0.0168	-0.0165
line_406	line_406	1	0.0948	-0.2005
line_426	line_426	1	0.017	-0.0062
line_427	line_427	1	-0.0155	0.0379
line_437	line_437	1	0.0265	0.025
line_439	line_439	1	-0.0035	0.0353
line_440	line_440	2	-0.0009	0.0406
line_441	line_441	2	-0.0066	0.0374
line_443	line_443	1	0.0122	-0.0108
line_486	line_486	2	-0.0049	0.033
line_491	line_491	1	-0.0058	0.0438
line_502	line_502	1	0.0141	-0.0192
line_517	line_517	1	-0.0104	0.0366
line_528	line_528	2	0.0146	-0.0154
line_530	line_530	2	-0.0027	0.0286
line_531	line_531	2	-0.0106	0.0413
line_535	line_535	2	-0.0065	0.0397
line_551	line_551	2	0.0061	0.0278
line_555	line_555	2	0.0257	0.0232
line_559	line_559	1	0	0.0401
line_563	line_563	1	0.0099	-0.0037
line_584	line_584	2	0.1052	-0.188
line_630	line_630	1	0.0677	-0.1193
line_639	line_639	2	0.0008	0.0358
line_703	line_703	1	-0.0089	0.0388
line_705	line_705	2	-0.0054	0.0335
line_707	line_707	2	0.0109	0.0214
line_712	line_712	2	0.025	0.0159
line_714	line_714	1	0.0229	0.0244
line_716	line_716	2	-0.009	0.0531
line_721	line_721	2	0.0017	0.0488
line_730	line_730	2	0.0014	0.0334
line_732	line_732	1	-0.0025	0.0385
line_737	line_737	2	0.0155	-0.0084
line_738	line_738	2	0.0007	0.0256
line_748	line_748	2	0.1362	-0.2323
line_757	line_757	1	-0.0058	0.035
line_765	line_765	1	-0.0037	0.0455
line_774	line_774	1	-0.0028	0.0332
line_776	line_776	2	-0.0126	0.0768
line_783	line_783	2	0.0045	0.0466
line_786	line_786	2	-0.0122	0.0477
line_790	line_790	2	0.0088	0.0478
line_796	line_796	2	0.0033	0.0381
line_799	line_799	1	0.0208	-0.0197
line_802	line_802	2	0.0278	-0.0256
line_808	line_808	1	-0.0043	0.0358
line_810	line_810	1	0.0316	0.0153
line_818	line_818	2	-0.0017	0.0443
line_819	line_819	2	0.0191	0.0211
line_820	line_820	2	0.016	0.0176
line_822	line_822	2	-0.0122	0.0383
line_837	line_837	2	0.1046	-0.2183
line_843	line_843	1	-0.0034	0.0811
line_849	line_849	1	0.0158	-0.0141
line_850	line_850	2	-0.0189	0.0766
line_852	line_852	2	-0.0058	0.0589
